0.042	0.029	0.029	0.022	0.04	0.026	0.025	0.033	0.034	0.04	0.035	0.032	0.022	0.027	0.031	0.035	0.03	0.022	0.026	0.038	0.027	0.028	0.024	0.027	0.04	0.024	0.028	0.025	0.026	0.029	0.026	0.034	0.026	0.027	0.028	0.038	0.033	0.034	0.04	0.04	0.03	0.038	0.026	0.031	0.035	0.025	0.036	0.023	0.035	0.023	
0.024	0.035	0.029	0.032	0.023	0.032	0.034	0.026	0.028	0.023	0.032	0.031	0.036	0.03	0.036	0.039	0.027	0.033	0.025	0.021	0.031	0.025	0.033	0.03	0.036	0.026	0.04	0.026	0.025	0.027	0.03	0.027	0.038	0.03	0.031	0.029	0.041	0.037	0.026	0.028	0.027	0.031	0.021	0.033	0.026	0.034	0.028	0.034	0.037	0.032	
0.037	0.038	0.032	0.027	0.036	0.036	0.029	0.036	0.026	0.026	0.034	0.029	0.032	0.034	0.023	0.038	0.023	0.028	0.027	0.042	0.032	0.028	0.034	0.024	0.026	0.033	0.025	0.031	0.033	0.023	0.036	0.03	0.028	0.035	0.032	0.037	0.034	0.038	0.028	0.034	0.022	0.031	0.023	0.032	0.048	0.03	0.026	0.035	0.032	0.035	
0.029	0.028	0.028	0.03	0.031	0.031	0.023	0.028	0.041	0.024	0.038	0.033	0.032	0.031	0.04	0.039	0.029	0.027	0.026	0.037	0.032	0.016	0.042	0.028	0.049	0.035	0.03	0.026	0.043	0.021	0.033	0.027	0.035	0.023	0.027	0.025	0.042	0.036	0.031	0.033	0.041	0.027	0.028	0.029	0.02	0.039	0.03	0.03	0.039	0.032	
0.033	0.028	0.039	0.032	0.034	0.03	0.041	0.04	0.023	0.034	0.04	0.03	0.03	0.032	0.028	0.029	0.032	0.031	0.024	0.042	0.033	0.031	0.031	0.029	0.019	0.035	0.035	0.022	0.023	0.044	0.025	0.032	0.039	0.037	0.037	0.039	0.03	0.042	0.029	0.034	0.036	0.033	0.027	0.035	0.027	0.04	0.04	0.028	0.033	0.041	
0.041	0.037	0.027	0.03	0.032	0.034	0.033	0.033	0.027	0.03	0.015	0.033	0.036	0.038	0.038	0.036	0.034	0.031	0.028	0.031	0.037	0.039	0.027	0.037	0.03	0.035	0.036	0.028	0.023	0.041	0.027	0.032	0.04	0.023	0.029	0.032	0.034	0.033	0.038	0.031	0.035	0.037	0.034	0.025	0.025	0.037	0.038	0.034	0.036	0.036	
0.037	0.032	0.039	0.028	0.045	0.029	0.039	0.024	0.021	0.039	0.052	0.035	0.031	0.035	0.025	0.026	0.031	0.034	0.033	0.032	0.028	0.036	0.023	0.026	0.034	0.036	0.038	0.027	0.031	0.035	0.034	0.031	0.036	0.022	0.035	0.033	0.022	0.04	0.028	0.023	0.021	0.024	0.022	0.038	0.031	0.028	0.025	0.028	0.034	0.029	
0.024	0.03	0.032	0.032	0.039	0.028	0.032	0.031	0.039	0.036	0.042	0.039	0.038	0.029	0.039	0.024	0.042	0.028	0.025	0.033	0.027	0.025	0.029	0.032	0.028	0.024	0.028	0.027	0.028	0.028	0.038	0.032	0.037	0.034	0.034	0.035	0.03	0.035	0.04	0.037	0.036	0.025	0.027	0.02	0.022	0.027	0.024	0.043	0.054	0.049	
0.02	0.03	0.042	0.032	0.036	0.034	0.025	0.031	0.033	0.037	0.03	0.031	0.032	0.031	0.033	0.035	0.036	0.027	0.039	0.043	0.033	0.034	0.034	0.03	0.032	0.034	0.024	0.044	0.034	0.039	0.035	0.029	0.036	0.028	0.026	0.035	0.027	0.041	0.033	0.032	0.034	0.031	0.041	0.03	0.029	0.034	0.026	0.039	0.041	0.039	
0.037	0.036	0.039	0.032	0.047	0.025	0.033	0.04	0.039	0.026	0.026	0.03	0.038	0.039	0.033	0.032	0.031	0.025	0.036	0.042	0.023	0.03	0.028	0.045	0.023	0.039	0.04	0.046	0.033	0.034	0.042	0.035	0.038	0.046	0.029	0.027	0.042	0.028	0.037	0.034	0.039	0.027	0.029	0.036	0.039	0.021	0.021	0.04	0.045	0.027	
